"Duration" "Amount" "InstallmentRatePercentage" "ResidenceDuration" "Age"
"1" 6 1169 4 4 67
"2" 48 5951 2 2 22
"3" 12 2096 2 3 49
"4" 42 7882 2 4 45
"5" 24 4870 3 4 53
"6" 36 9055 2 4 35
"7" 24 2835 3 4 53
"8" 36 6948 2 2 35
"9" 12 3059 2 4 61
"10" 30 5234 4 2 28
"11" 12 1295 3 1 25
"12" 48 4308 3 4 24
"13" 12 1567 1 1 22
"14" 24 1199 4 4 60
"15" 15 1403 2 4 28
"16" 24 1282 4 2 32
"17" 24 2424 4 4 53
"18" 30 8072 2 3 25
"19" 24 12579 4 2 44
"20" 24 3430 3 2 31
"21" 9 2134 4 4 48
"22" 6 2647 2 3 44
"23" 10 2241 1 3 48
"24" 12 1804 3 4 44
"25" 10 2069 2 1 26
"26" 6 1374 1 2 36
"27" 6 426 4 4 39
"28" 12 409 3 3 42
"29" 7 2415 3 2 34
"30" 60 6836 3 4 63
"31" 18 1913 3 3 36
"32" 24 4020 2 2 27
"33" 18 5866 2 2 30
"34" 12 1264 4 4 57
"35" 12 1474 4 1 33
"36" 45 4746 4 2 25
"37" 48 6110 1 3 31
"38" 18 2100 4 2 37
"39" 10 1225 2 2 37
"40" 9 458 4 3 24
"41" 30 2333 4 2 30
"42" 12 1158 3 1 26
"43" 18 6204 2 4 44
"44" 30 6187 1 4 24
"45" 48 6143 4 4 58
"46" 11 1393 4 4 35
"47" 36 2299 4 4 39
"48" 6 1352 1 2 23
"49" 11 7228 1 4 39
"50" 12 2073 4 2 28
"51" 24 2333 4 2 29
"52" 27 5965 1 2 30
"53" 12 1262 3 2 25
"54" 18 3378 2 1 31
"55" 36 2225 4 4 57
"56" 6 783 1 2 26
"57" 12 6468 2 1 52
"58" 36 9566 2 2 31
"59" 18 1961 3 2 23
"60" 36 6229 4 4 23
"61" 9 1391 2 1 27
"62" 15 1537 4 4 50
"63" 36 1953 4 4 61
"64" 48 14421 2 2 25
"65" 24 3181 4 4 26
"66" 27 5190 4 4 48
"67" 12 2171 2 2 29
"68" 12 1007 4 1 22
"69" 36 1819 4 4 37
"70" 36 2394 4 4 25
"71" 36 8133 1 2 30
"72" 7 730 4 2 46
"73" 8 1164 3 4 51
"74" 42 5954 2 1 41
"75" 36 1977 4 4 40
"76" 12 1526 4 4 66
"77" 42 3965 4 3 34
"78" 11 4771 2 4 51
"79" 54 9436 2 2 39
"80" 30 3832 2 1 22
"81" 24 5943 1 1 44
"82" 15 1213 4 3 47
"83" 18 1568 3 4 24
"84" 24 1755 4 4 58
"85" 10 2315 3 4 52
"86" 12 1412 4 2 29
"87" 18 1295 4 1 27
"88" 36 12612 1 4 47
"89" 18 2249 4 3 30
"90" 12 1108 4 3 28
"91" 12 618 4 4 56
"92" 12 1409 4 3 54
"93" 12 797 4 3 33
"94" 24 3617 4 4 20
"95" 12 1318 4 4 54
"96" 54 15945 3 4 58
"97" 12 2012 4 2 61
"98" 18 2622 4 4 34
"99" 36 2337 4 4 36
"100" 20 7057 3 4 36
"101" 24 1469 4 4 41
