"NumberExistingCredits","NumberPeopleMaintenance","Telephone","ForeignWorker","Class"
2,1,0,1,"Good"
1,1,1,1,"Bad"
1,2,1,1,"Good"
1,2,1,1,"Good"
2,2,1,1,"Bad"
1,2,0,1,"Good"
1,1,1,1,"Good"
1,1,0,1,"Good"
1,1,1,1,"Good"
2,1,1,1,"Bad"
1,1,1,1,"Bad"
1,1,1,1,"Bad"
1,1,0,1,"Good"
2,1,1,1,"Bad"
1,1,1,1,"Good"
1,1,1,1,"Bad"
2,1,1,1,"Good"
3,1,1,1,"Good"
1,1,0,1,"Bad"
1,2,0,1,"Good"
3,1,0,1,"Good"
1,2,1,1,"Good"
2,2,1,0,"Good"
1,1,1,1,"Good"
2,1,1,0,"Good"
1,1,0,1,"Good"
1,1,1,1,"Good"
2,1,1,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Bad"
1,1,0,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Good"
1,1,1,1,"Good"
1,1,0,1,"Good"
2,1,1,1,"Bad"
1,1,0,1,"Good"
1,1,1,1,"Bad"
1,1,0,1,"Good"
1,1,1,1,"Good"
1,1,1,1,"Good"
1,1,0,1,"Good"
1,2,0,1,"Good"
2,1,1,1,"Good"
2,1,1,1,"Bad"
2,1,1,1,"Good"
1,1,1,1,"Good"
1,1,0,1,"Good"
2,1,1,1,"Good"
1,1,1,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Good"
1,1,1,1,"Good"
1,1,0,1,"Good"
2,1,0,1,"Bad"
1,2,1,1,"Good"
1,1,0,1,"Bad"
2,1,1,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Bad"
1,1,0,1,"Good"
2,1,0,1,"Good"
1,1,0,1,"Bad"
1,1,0,1,"Bad"
1,1,0,1,"Good"
4,2,0,1,"Good"
1,1,1,1,"Good"
1,1,1,1,"Good"
1,1,0,1,"Bad"
1,1,1,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Good"
2,2,0,1,"Good"
2,1,1,1,"Good"
1,1,0,1,"Bad"
2,1,1,1,"Good"
1,1,1,1,"Bad"
1,1,1,1,"Good"
1,2,1,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Bad"
1,1,0,1,"Good"
1,1,1,1,"Good"
1,1,0,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Good"
2,1,1,1,"Good"
1,2,0,1,"Bad"
1,2,0,1,"Good"
2,1,1,1,"Bad"
1,1,1,1,"Good"
1,1,1,1,"Good"
1,2,1,1,"Bad"
2,1,1,1,"Good"
1,1,0,1,"Good"
1,1,0,1,"Bad"
1,1,1,1,"Good"
1,1,1,1,"Good"
1,1,1,1,"Good"
2,2,0,1,"Good"
1,1,1,1,"Good"
1,1,1,1,"Good"
1,1,1,1,"Good"
1,1,0,1,"Good"
1,1,0,1,"Good"
2,2,0,1,"Bad"
2,2,0,1,"Bad"
1,1,1,1,"Good"
1,1,0,0,"Good"
1,1,0,1,"Good"
2,2,1,1,"Good"
1,1,0,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Bad"
1,1,1,1,"Good"
1,1,0,1,"Good"
1,1,0,1,"Bad"
2,1,1,0,"Good"
2,1,1,1,"Bad"
1,1,0,1,"Good"
2,1,0,1,"Bad"
2,1,0,1,"Good"
1,1,1,1,"Good"
2,1,0,1,"Good"
1,1,1,1,"Bad"
2,1,1,1,"Good"
1,1,1,1,"Good"
