"","Duration","Amount","InstallmentRatePercentage","ResidenceDuration","Age","NumberExistingCredits","NumberPeopleMaintenance","Telephone","ForeignWorker","Class"
"1",6,1169,4,4,67,2,1,0,1,"Good"
"2",48,5951,2,2,22,1,1,1,1,"Bad"
"3",12,2096,2,3,49,1,2,1,1,"Good"
"4",42,7882,2,4,45,1,2,1,1,"Good"
"5",24,4870,3,4,53,2,2,1,1,"Bad"
"6",36,9055,2,4,35,1,2,0,1,"Good"
"7",24,2835,3,4,53,1,1,1,1,"Good"
"8",36,6948,2,2,35,1,1,0,1,"Good"
"9",12,3059,2,4,61,1,1,1,1,"Good"
"10",30,5234,4,2,28,2,1,1,1,"Bad"
"11",12,1295,3,1,25,1,1,1,1,"Bad"
"12",48,4308,3,4,24,1,1,1,1,"Bad"
"13",12,1567,1,1,22,1,1,0,1,"Good"
"14",24,1199,4,4,60,2,1,1,1,"Bad"
"15",15,1403,2,4,28,1,1,1,1,"Good"
"16",24,1282,4,2,32,1,1,1,1,"Bad"
"17",24,2424,4,4,53,2,1,1,1,"Good"
"18",30,8072,2,3,25,3,1,1,1,"Good"
"19",24,12579,4,2,44,1,1,0,1,"Bad"
"20",24,3430,3,2,31,1,2,0,1,"Good"
"21",9,2134,4,4,48,3,1,0,1,"Good"
"22",6,2647,2,3,44,1,2,1,1,"Good"
"23",10,2241,1,3,48,2,2,1,0,"Good"
"24",12,1804,3,4,44,1,1,1,1,"Good"
"25",10,2069,2,1,26,2,1,1,0,"Good"
"26",6,1374,1,2,36,1,1,0,1,"Good"
"27",6,426,4,4,39,1,1,1,1,"Good"
"28",12,409,3,3,42,2,1,1,1,"Good"
"29",7,2415,3,2,34,1,1,1,1,"Good"
"30",60,6836,3,4,63,2,1,0,1,"Bad"
"31",18,1913,3,3,36,1,1,0,1,"Good"
"32",24,4020,2,2,27,1,1,1,1,"Good"
"33",18,5866,2,2,30,2,1,0,1,"Good"
"34",12,1264,4,4,57,1,1,1,1,"Good"
"35",12,1474,4,1,33,1,1,0,1,"Good"
"36",45,4746,4,2,25,2,1,1,1,"Bad"
"37",48,6110,1,3,31,1,1,0,1,"Good"
"38",18,2100,4,2,37,1,1,1,1,"Bad"
"39",10,1225,2,2,37,1,1,0,1,"Good"
"40",9,458,4,3,24,1,1,1,1,"Good"
"41",30,2333,4,2,30,1,1,1,1,"Good"
"42",12,1158,3,1,26,1,1,0,1,"Good"
"43",18,6204,2,4,44,1,2,0,1,"Good"
"44",30,6187,1,4,24,2,1,1,1,"Good"
"45",48,6143,4,4,58,2,1,1,1,"Bad"
"46",11,1393,4,4,35,2,1,1,1,"Good"
"47",36,2299,4,4,39,1,1,1,1,"Good"
"48",6,1352,1,2,23,1,1,0,1,"Good"
"49",11,7228,1,4,39,2,1,1,1,"Good"
"50",12,2073,4,2,28,1,1,1,1,"Good"
"51",24,2333,4,2,29,1,1,1,1,"Good"
"52",27,5965,1,2,30,2,1,0,1,"Good"
"53",12,1262,3,2,25,1,1,1,1,"Good"
"54",18,3378,2,1,31,1,1,0,1,"Good"
"55",36,2225,4,4,57,2,1,0,1,"Bad"
